assigned_type,name,confidence,rule,why,roles,occurrences,orcid,node_id,worksheet_action,worksheet_kind,worksheet_evidence,example_datasets,DECISION
Person,A.J. Reiss,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0009-0006-5535-9362,https://orcid.org/0009-0006-5535-9362,,,,Argo,
Person,Alex de Sherbinin,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0002-8875-4864,https://orcid.org/0000-0002-8875-4864,,,,Gridded Population of the World (GPW),
Person,Alexandru Codilean,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0003-1895-5633,https://orcid.org/0000-0003-1895-5633,,,,OCTOPUS database,
Person,Alfredo A. Cruz,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0001-5032-524X,https://orcid.org/0000-0001-5032-524X,,,,OMNI,
Person,Alison Fritz,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0001-7470-6602,https://orcid.org/0000-0001-7470-6602,,,,National Energy Water Treatment and Speciation (NEWTS) Database,
Person,Angus Nixon,high,R1,ORCID supplied,nominator x2,2,https://orcid.org/0000-0003-3638-1864,https://orcid.org/0000-0003-3638-1864,,,,Australian Thermochronology - 2002 and prior | Australian Thermochronology - 2002 to 2022,
Person,Ankur Desai,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0002-5226-6041,https://orcid.org/0000-0002-5226-6041,,,,Fluxnet (or Ameriflux for N America),
Person,Ann Windnagel,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0001-6396-3523,https://orcid.org/0000-0001-6396-3523,,,,Sea Ice Index,
Person,Anna Savage,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0003-1288-8636,https://orcid.org/0000-0003-1288-8636,,,,Sofar Spotter Data Archive,
Person,Anne Tillery,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0002-9508-7908,https://orcid.org/0000-0002-9508-7908,,,,The National Geologic Map Database (NGMDB),
Person,Anthony Lanati,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0002-3317-5697,https://orcid.org/0000-0002-3317-5697,,,,The GEOROC database,
Person,Antonio Martínez Picar,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0001-6715-7166,https://orcid.org/0000-0001-6715-7166,,,,International Sunspot Number,
Person,Ariadna Martin,high,R1,ORCID supplied,nominator x1,1,https://orcid.org/0000-0001-7802-2662,https://orcid.org/0000-0001-7802-2662,,,,Global Extreme Sea Level Analysis (GESLA),
